tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1934822812218175567',"うん！
やっぱり授業の動画はさっさと消化して
最後の１年は絶対にフルでプログラミングのために時間を空ける！！
そのためにはスクールアイドルの活動もなるべく早く盛り上げて
結果を出さなくちゃね💻
#いきづらい部",ja,Tweet,11,949,135,1,36318,2025-06-17 12:58:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1934822057260503108',"翔音参戦で仙台にもL高のサテライトがあると初めて知った💻
けっこうあちこちにあるのね
通信コース在籍羨ましい…
やっぱり私も通学ナシにしたかったなー
そしたらあんな懐っこい柴犬うっかり拾っちゃうこともなかったのに
たぶん🐌
#いきづらい部",ja,Tweet,26,1325,266,5,64524,2025-06-17 12:55:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932724738167877975',"あとXで歌うのはやめて
#いきづらい部",ja,Tweet,24,1335,223,6,85769,2025-06-11 18:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932723982412939523',"浅草寺のおみくじで大吉が出る確率は17％
つまり４回連続で大吉が出る確率はおよそ0.08％
見なかったことにする💻
#いきづらい部",ja,Tweet,14,1065,178,4,52650,2025-06-11 17:58:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932049288357433713',"参加していただけたら、きっとローラがハグとキスを送ってくれると思います
ローラが💻

なんかあの日、あの学校の先生が言ってたことちょっと思い出すな
「スクールアイドルなんて決まったルールはないんだから何をやってもいいのよ」って
#いきづらい部",ja,Tweet,28,1247,327,10,93924,2025-06-09 21:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932048581449625626',"もうみんなにアイデア募集を丸投げ…じゃなかった
私たちにこんなことやってみたら？という提案を頂けたらなと思っています💻
そこで今回はハッシュタグを大募集！
ローラいわくネットでは定番の企画らしいので皆さんにぜひ参加していただけたら嬉しいです
#いきづらい部",ja,Tweet,44,1233,392,5,96168,2025-06-09 21:14:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932047526783258921',"結局スクールアイドルって言ってもなにをしたらいいか全員今一つよくわかっていないのと
いっそこのわからなさも発信してみんなで手作りスクールアイドル活動するのもいいんじゃない？
ってポルカが踊りだしたので…
#いきづらい部",ja,Tweet,18,1202,172,3,57528,2025-06-09 21:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932046974892777533',"メンバーが増えて、それがまさかの遠距離で
これからいったいどうやっていこうってことをみんなで考えてみたんだけれど💻
#いきづらい部",ja,Tweet,7,860,102,2,40577,2025-06-09 21:07:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1932046818856374342',"こんばんは
とりあえず大阪サテライトのメンバーがだいぶ味付け濃いめで驚いてる副部長マイマイです🐌
さすがお好み焼きの国
私はたこ焼きも好きだけどどっちかっていうと明石焼きが好き
とか言ってもいいのかな
#いきづらい部",ja,Tweet,12,1034,162,4,44206,2025-06-09 21:07:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1930185254045724955',"それにしても大阪サテライトからさらに２人も入部希望とか
驚きしかない
しかもなんならあっちの方が強そうとか！
でも意外とワクワクしてる自分に驚き

世界で1番美しいと言われる数式の構成要素は
e　i π + 1 = 0
の７つ
私はi希望💻
#いきづらい部",ja,Tweet,24,1305,240,7,87785,2025-06-04 17:50:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1930184498970329353',"分かってる
予想通りよ…
あの子はそういう感じ
落ち着きなさい、麻衣
こんなのプラン通りよ💻
#いきづらい部",ja,Tweet,7,826,109,5,39200,2025-06-04 17:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1930183744016490940',"ダンスがうまいのとも関係あるのかと思って
もしかしてピアノも得意？って聞いたら
リコーダーはめっちゃ下手！
って返って来た
#いきづらい部",ja,Tweet,10,878,109,2,35875,2025-06-04 17:44:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1930182989129846940',"ポルカは「親が化石ハンターだからね！！」
ってドヤ顔してたけど
そういうのは別に全然関係ないと思う💻

それにしてもやっぱり耳がいいのかな？
#いきづらい部",ja,Tweet,10,950,122,6,44067,2025-06-04 17:41:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1930182234071351555',"私はやらないわよ
恐竜の鳴きまねなんて
だいたい「ぴぎゃあ～」なんて恐竜がそんなかわいらしく鳴くわけないでしょ！？

言いかけた途中で
ポルカの鳴きまねがリアルすぎてちょっとビクッとしちゃった💩
本当にちょっとだけど！
#いきづらい部",ja,Tweet,25,1511,303,8,84208,2025-06-04 17:38:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1927219461377126524',"定期的にオンラインで集まって、歌だったら普通に一緒にやれる気がするし
ゆくり氏はバレエ歴アリの即戦力だし✨
私の分も頑張ってくれたらきっと私は目立たないですむわ
Be like TRON💻
#いきづらい部",ja,Tweet,15,1082,177,9,60930,2025-05-27 13:25:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1927218706716746116',"あのウルウルの柴犬顔思い出すだけで弱る…
たぶん言ってみるだけ時間の無駄だからAかCを提案することにします💻
#いきづらい部",ja,Tweet,18,1036,194,4,57066,2025-05-27 13:22:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
