tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1930997355748405673',"これで7人

じゃあ
あと…2人？

ウソでしょ",ja,Tweet,23,1795,345,11,136802,2025-06-06 23:37:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1930996601369382993',増えてるじゃん…,ja,Tweet,12,1106,189,5,65682,2025-06-06 23:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1930995846142967960',"だからもう！！

どうしてそうなるわけ！？",ja,Tweet,19,1171,180,5,96391,2025-06-06 23:31:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1928096742911922489',"ボクと一緒に見てみる？
たまにはこんな日があってもいいよね

大好きだよ❤",ja,Tweet,29,1774,223,10,135750,2025-05-29 23:31:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1928095987270124001',"だって…
あのスクールアイドルを、あんな風に雑に始めるなんて…

大好きな海未ちゃんの実績が汚されたりしないように
ボクがちゃんと監視しないと",ja,Tweet,389,6997,1719,19,723406,2025-05-29 23:28:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1928095232588919264',"しようと思ったけど

少しだけあのチャンネルを見て見ようかなと思いついちゃった
たぶんこれは完全な怖いもの見たさ",ja,Tweet,13,1414,210,1,110879,2025-05-29 23:25:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1928094477639635438',今夜も布団をかぶってASMRで寝落ち,ja,Tweet,31,1529,290,12,116046,2025-05-29 23:22:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1928093722744381467',"転校するなら早い方がイイって親は言うけど

学校に行く気力もないのにそんなややこしそうなこと…
できると思う？",ja,Tweet,40,1925,273,4,141920,2025-05-29 23:19:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1925201414424543666',"明日は晴れるかな？

晴れてもたぶん休むけど

みんなおやすみ
大好きだよ❤",ja,Tweet,24,1808,276,40,135094,2025-05-21 23:46:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1925201163974266949',"とりあえず

今日は見なかったことにする",ja,Tweet,18,1392,202,12,127661,2025-05-21 23:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1925200911711809751',"ずるいよ
どうしてそんな…",ja,Tweet,22,1565,207,15,157677,2025-05-21 23:44:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1925200659772526741',"待って
ちょっと待って",ja,Tweet,15,1517,203,12,150177,2025-05-21 23:43:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1925200407774597493',"なにこの動画

え",ja,Tweet,41,2170,327,16,224670,2025-05-21 23:42:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1920888747429949555',"大丈夫
そんなに凹んでないよ

キミがいるから

見てくれてありがとう
大好きだよ❤",ja,Tweet,70,2248,298,18,266872,2025-05-10 02:09:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1920888495515803936',"新しいヘッドホンのノイキャンが効きすぎて幸せ

夜中はボクの時間

ずっとこのまま朝が来なければいいのにと思うけど
それだときっとみんな困るから朝は来てもいい

ただしボクは寝る",ja,Tweet,38,1206,194,1,178243,2025-05-10 02:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1920888245568602326',"親とケンカ

もうボクのことなんて放っておけばいいのに

早く諦めて",ja,Tweet,47,1331,230,11,208766,2025-05-10 02:07:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1916698134190637265',"でもでもだって…

とりあえず今夜新制服コーデ配信しまーす

みんな見てね
大好きだよ❤",ja,Tweet,5,415,36,0,66102,2025-04-28 12:37:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1916697882406605215',"ボクは悪くない
けど
ずっとこのままじゃいられないのもわかってる",ja,Tweet,10,433,71,1,57649,2025-04-28 12:36:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1916697630920347862',"分かってる
この空気の正体は

親の圧力",ja,Tweet,11,423,73,3,50752,2025-04-28 12:35:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1916697379337621688',"そろそろ不穏な感じがする
なんていうか家の中がザワザワ落ち着かないような
もしかしてーー座敷童？

そんなわけないよね…",ja,Tweet,3,336,28,0,39158,2025-04-28 12:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914133736431788129',"その城壁の陰で祭りをするんだ
思い思いに最高の衣装を着て、大きな火を囲んで踊る

ボクだったら、ニーハイにプリーツスカートの夢みたいに明るい色の制服にする
だって夢だから
一緒に踊る？",ja,Tweet,8,374,36,0,36838,2025-04-21 10:47:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914111087126974648',"明日から
来週から
来月から
来年から
この世にあるそんな言葉を全部すべて集めて並べてボクの前に城壁を築きたい",ja,Tweet,12,392,61,1,38130,2025-04-21 09:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914110835502334003',"そんなデッドラインが過ぎた今でも
まだ少し余韻が残ってる

重",ja,Tweet,3,330,24,0,31626,2025-04-21 09:16:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1914110583877845469',"また月曜がきた

いつもボクに圧し掛かってる重石が少しだけーー軽くなる週末から
月曜の朝のもう絶対に学校に間に合わなくなる
この時間までが１番きついんだけど",ja,Tweet,6,370,38,0,33019,2025-04-21 09:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911571100699599273',"見ててくれてありがとう
大好きだよ💖",ja,Tweet,6,377,37,0,30671,2025-04-14 09:04:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911570848991101107',"こうしてーーネットで誰かと交流もするし
顔も知らない誰かだけど
ここでは本音で話してるから
ボクの現実の顔を知ってるほかの誰かよりも、きっと本当のボクを知ってるのがキミだと思う",ja,Tweet,12,401,45,0,29865,2025-04-14 09:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911570597211214051',"行こうか行かないかモヤモヤしている時間が１番苦痛だからーー
もう決めた
その代わりちゃんと勉強はするし
やることはやる",ja,Tweet,8,361,29,0,28631,2025-04-14 09:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1911570345703907747',"雨
だから今日は学校は行かない
いま宣言",ja,Tweet,28,483,85,4,42895,2025-04-14 09:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
