tweet_id,text,author_id ,type,created_at,hashtags,urls,media_type,media_urls
'1936003844502331410',"たしかに消化がいいもんね🪄
小さい頃からお母さまが作ってくれたみたい
そんな真緑ちゃんが楽しすぎて思わずにっこり💖

なんだか急に元気が出ちゃって踊りたくなっちゃった🥰
フフ
#いきづらい部",7,Tweet,2025/6/20 19:11,#いきづらい部,,,
'1936003089376653598',"最近すごく暑くてあんまり食欲がないな…
と話していたら
真緑ちゃんが食欲がない時のとっておきを教えてくれました🩰✨

それはおかゆ！
#いきづらい部",7,Tweet,2025/6/20 19:08,#いきづらい部,,,
'1933482983664611349',"私たち大阪サテライトチームの初めての練習はあっという間に終わってました🪄
楽しい時間が過ぎるのは早いって本当だなって実感したのは久しぶりな気がしたな💖
帰りにみんなでジェラート食べて楽しかった！
プラスティックのスプーンは真緑ちゃんが断ってたよ🥰
#いきづらい部",7,Tweet,2025/6/13 20:14,#いきづらい部,,,
'1933482228551447012',"ずっと男役を目指していたから、かわいく見えるダンスなんてできるかな？
とはじめは思ったけれど
初めてのダンスに一生懸命な真緑ちゃんや振りなんて間違えても全然気にしないローラを見てたら
自然に笑っちゃって🎩✨
#いきづらい部",7,Tweet,2025/6/13 20:11,#いきづらい部,,,
'1933481473807692089',"ステージで歌って踊るのは歌劇団と同じはずなのに、スクールアイドルとして踊るのって思ったよりも違いがあって
なんだか新鮮な気分🩰✨
トウシューズもダンスヒールも履かずにスニーカーで踊るのも楽しい🥰
#いきづらい部",7,Tweet,2025/6/13 20:08,#いきづらい部,,,
'1930956083339891011',"お芝居の展開的に考えたら、4人対3人でとりあえずバトル🎺✨
ってなるところだけれど、私たちはどうかな🥰
#いきづらい部",7,Tweet,2025/6/6 20:53,#いきづらい部,,,
'1930955328394285112',"ポルカちゃんたちとも話したのだけれど、こうして大阪サテライトのメンバーも3人になったので、これからはリアルでやれることも探していこうと思います🎩✨
3人組のアイドルって探してみたらいっぱいいてダンスもかっこいい～！！
#いきづらい部",7,Tweet,2025/6/6 20:50,#いきづらい部,,,
'1930954573411401810',"最初はアイドルなんて絶対に無理ってしり込みしていたけれど
「アイドルじゃなくてスクールアイドルだから🌈」とか「環境保護活動に絶対役に立つよ🌴」とかローラちゃんにめっちゃ説得されてた🥰
いったん決意してからはすっごく前向き！！
#いきづらい部",7,Tweet,2025/6/6 20:47,#いきづらい部,,,
'1930953818314776584',"今日いよいよスクールアイドルデビューの真緑ちゃん！
私も応援しています🌟
苦手なことでも自分の目的のためには逃げずに真正面から頑張るところは
かっこいいしかわいいですよね🩰✨
#いきづらい部",7,Tweet,2025/6/6 20:44,#いきづらい部,,,
'1930953063461748765',"真緑ちゃん🌵🌳がんばれ～！
応援してるよ～！！！
あはは🌵✨
その調子！
大丈夫すっごくかわいく撮れてる！！
#いきづらい部",7,Tweet,2025/6/6 20:41,#いきづらい部,,,
